TransactionID,MerchantID,TransactionAmount,TransactionType,FraudDetected,State,UserAge,UserIncome,Churn
1,1038,887.5535817166401,Online,0,Karnataka,64,35591.69439122929,0
2,1028,539.432614831303,Online,0,Delhi,59,87997.44871514566,0
3,1014,785.9199888033667,POS,0,Maharashtra,37,96928.91200308425,0
4,1042,584.0375161362058,Online,0,Karnataka,28,144729.34106425004,0
5,1007,575.0686955432631,POS,0,Karnataka,58,73809.92701683995,0
6,1020,159.0048604212823,Online,0,Maharashtra,34,31805.351746328266,1
7,1038,169.83077511534447,Online,0,Gujarat,58,104621.51514733038,1
8,1018,553.0569342713345,POS,0,Gujarat,42,22744.576318001706,1
9,1022,305.41846773005625,POS,0,Tamil Nadu,46,75304.3760578839,0
10,1010,69.9850573374452,POS,0,Karnataka,40,73254.06220673522,0
11,1010,736.6972437052017,Online,0,Delhi,26,53126.48121891664,0
12,1023,80.86226685565671,POS,0,Delhi,42,145360.17731693148,0
13,1035,615.5129990488518,POS,0,Karnataka,58,72443.09389669698,0
14,1039,562.2341044209487,Online,0,Gujarat,40,136311.92491049843,0
15,1023,970.3739560489142,Online,0,Karnataka,19,86964.3712005483,0
16,1002,510.00248238025955,Online,0,Tamil Nadu,62,126669.70174530224,0
17,1021,110.4213645589075,POS,0,Karnataka,18,78681.37894584647,0
18,1001,574.1035694161386,Online,0,Maharashtra,55,148899.83424016216,0
19,1023,849.0413620852963,POS,0,Gujarat,23,103203.77838831877,0
20,1043,997.0068200673679,POS,0,Maharashtra,61,40273.110512012885,0
21,1029,458.82601500461885,POS,0,Maharashtra,32,20836.006871977315,0
22,1037,354.2838053719054,POS,0,Karnataka,24,140757.0476613707,0
23,1001,911.320632104399,Online,0,Karnataka,19,109284.10792767072,1
24,1020,231.6800226223153,Online,0,Delhi,47,33817.787230849164,0
25,1032,634.6574692812803,POS,0,Maharashtra,46,116653.30386242359,0
26,1011,435.42870297190035,POS,0,Karnataka,29,49529.31855485475,0
27,1021,89.02824670777753,Online,0,Delhi,51,125199.95092587563,0
28,1043,379.9240505904129,Online,0,Maharashtra,47,99289.9472824864,0
29,1024,301.9670963775409,POS,0,Delhi,53,36075.79718396284,0
30,1048,701.7865962463125,POS,0,Gujarat,52,29223.386802550467,0
31,1026,951.3509728073223,POS,0,Tamil Nadu,19,80595.34003300084,0
32,1041,304.64482800970586,POS,0,Maharashtra,20,141796.14954117674,1
33,1027,820.8926421940977,POS,0,Karnataka,59,93402.25051183612,0
34,1015,102.59182609148905,Online,0,Gujarat,29,118684.15252393916,0
35,1014,561.2149595378226,POS,0,Delhi,21,81031.53063288872,0
36,1046,117.02256052439985,Online,0,Tamil Nadu,24,69930.47731372349,0
37,1043,937.3313415741073,POS,0,Maharashtra,37,126886.97490955319,0
38,1002,778.0337165295207,Online,0,Tamil Nadu,36,80240.25142525655,0
39,1036,675.0524156443627,POS,0,Gujarat,25,38400.55198770933,1
40,1006,832.701562543431,Online,0,Tamil Nadu,20,55687.663866279676,0
41,1020,665.143805791655,Online,0,Maharashtra,44,92979.84350028934,0
42,1008,970.4971773155766,POS,0,Gujarat,32,72335.02788437267,0
43,1038,728.260050471533,POS,0,Delhi,25,67631.07834102697,0
44,1017,928.4256791031345,Online,0,Maharashtra,35,106939.3498561808,0
45,1003,541.2752974101061,Online,0,Tamil Nadu,46,102721.65276568681,0
46,1024,161.2111923327695,Online,0,Maharashtra,63,60823.39426135343,0
47,1013,551.7688353518663,POS,0,Gujarat,53,66725.45863476666,0
48,1049,170.52918665993863,Online,0,Tamil Nadu,20,117768.63771077791,1
49,1008,612.8688052175848,POS,0,Delhi,26,139767.38564713026,0
50,1025,508.3684075012798,POS,0,Karnataka,27,62147.917482322395,0
51,1001,641.4466279411427,POS,0,Delhi,57,57944.0840196128,0
52,1019,59.54463200209001,POS,0,Maharashtra,37,54486.40258089145,0
53,1027,235.0984670725959,POS,0,Karnataka,19,38395.896945242544,0
54,1046,516.7639103165243,POS,0,Gujarat,18,69032.64931449067,0
55,1006,952.9783835096781,Online,0,Tamil Nadu,44,87080.79513830098,0
56,1043,414.42858833740047,Online,0,Tamil Nadu,21,89866.32320568567,0
57,1007,453.1534247509529,POS,0,Gujarat,54,109833.94380117077,0
58,1046,728.961284556291,Online,0,Maharashtra,49,26831.738586775653,0
59,1034,623.6031194218122,Online,0,Delhi,35,92983.13591680655,0
60,1013,333.97984259341655,POS,0,Karnataka,31,53148.56504593178,0
61,1016,440.2755757890564,Online,0,Gujarat,62,51086.05455801895,1
62,1035,256.8148089143708,POS,0,Maharashtra,32,122664.37086041948,0
63,1049,967.7203861736981,POS,0,Maharashtra,21,39952.04161727021,0
64,1039,174.10266247949176,POS,0,Karnataka,36,62783.01932783285,1
65,1003,403.2449453380985,POS,0,Gujarat,41,102892.98639750898,0
66,1001,74.54702360901064,Online,0,Delhi,47,103573.53810192905,0
67,1005,260.6905173368691,Online,0,Delhi,30,26251.431717898347,0
68,1041,791.4475814611471,POS,0,Gujarat,28,29432.65054426453,0
69,1003,241.11647067443548,Online,0,Tamil Nadu,45,105197.2228284543,0
70,1028,126.06023240251731,POS,0,Delhi,28,143909.6399709939,0
71,1017,500.7305208522971,POS,0,Tamil Nadu,18,149805.40476670032,0
72,1025,59.47077299779257,Online,0,Gujarat,64,148324.27847063466,0
73,1043,130.52784670501651,Online,0,Maharashtra,59,65705.42773782718,0
74,1033,817.2445760848263,POS,0,Gujarat,21,51435.33274975848,0
75,1009,782.899677616626,Online,0,Maharashtra,55,32824.41604558467,0
76,1035,919.3818793846513,POS,0,Gujarat,51,62357.48786054581,0
77,1013,861.7896641152121,POS,0,Tamil Nadu,29,55990.97382880393,0
78,1030,699.0167850778272,Online,0,Tamil Nadu,41,94983.50747459863,0
79,1047,99.7162144356297,POS,0,Gujarat,54,67942.11460763644,0
80,1014,793.7061870873247,Online,0,Maharashtra,49,50098.887942503854,0
81,1007,853.2352702985324,POS,0,Gujarat,36,99630.83983042116,0
82,1013,809.1280384833567,POS,0,Maharashtra,46,61998.79662522002,0
83,1022,533.0550835426247,POS,0,Tamil Nadu,55,65973.2208122272,1
84,1039,271.25674671700756,POS,0,Karnataka,46,97797.26908466114,0
85,1020,853.0634769042904,POS,0,Delhi,36,35368.41283452605,1
86,1015,740.8046692531316,Online,0,Tamil Nadu,37,120652.3898561006,0
